country;nbTitles
"US";2323
"IN";622
"GB";404
"JP";287
"FR";248
"KR";228
"CA";219
"ES";211
"DE";139
"MX";126
"CN";102
"BR";102
"PH";86
"TR";84
"AU";84
"IT";83
"NG";73
"AR";72
"TW";64
"ID";63
"EG";49
"BE";49
"ZA";48
"CO";48
"PL";45
"NL";39
"LB";39
"HK";37
"TH";36
"DK";31
"SG";28
"SE";26
"NO";23
"XX";23
"PS";22
"AE";21
"CL";20
"MY";19
"IL";18
"IE";16
"RU";15
"CH";14
"SA";14
"AT";13
"PE";12
"QA";12
"NZ";11
"CZ";10
"IS";10
"BG";9
"KW";8
"HU";7
"RO";7
"LU";7
"UY";7
"FI";6
"JO";6
"MA";5
"PT";5
"UA";5
"TZ";4
"GH";4
"TN";4
"VN";3
"KE";3
"GR";3
"PR";3
"SY";3
"KH";3
"BD";3
"PK";3
"IO";3
"SU";2
"AF";2
"CM";2
"MT";2
"CD";2
"IR";2
"IQ";2
"GE";2
"RS";2
"AL";2
"SN";2
"LT";2
"FO";1
"VE";1
"BF";1
"Lebanon";1
"GL";1
"CU";1
"NP";1
"VA";1
"BS";1
"ZW";1
"PY";1
"MC";1
"MW";1
"KG";1
"BT";1
"GT";1
"MU";1
"DZ";1
"NA";1
"AO";1
"CY";1
"LK";1
"BY";1
"KN";1
"HR";1
