release_year,nb_titles_realised
1945,1
1954,2
1956,1
1958,1
1959,1
1960,1
1961,1
1963,1
1966,1
1967,2
1969,2
1971,1
1972,3
1973,1
1974,1
1975,2
1976,3
1977,1
1978,1
1979,5
1980,3
1981,3
1982,6
1983,4
1984,6
1985,1
1986,4
1987,6
1988,7
1989,12
1990,7
1991,13
1992,3
1993,14
1994,16
1995,10
1996,7
1997,16
1998,22
1999,13
2000,11
2001,20
2002,22
2003,31
2004,38
2005,32
2006,45
2007,48
2008,63
2009,59
2010,66
2011,86
2012,107
2013,135
2014,153
2015,223
2016,362
2017,563
2018,773
2019,836
2020,814
2021,787
2022,371
