Type;Genre;absfrequence
MOVIE;"drama";1876
MOVIE;"comedy";1571
MOVIE;"thriller";825
MOVIE;"action";718
MOVIE;"romance";698
MOVIE;"documentation";611
MOVIE;"crime";545
MOVIE;"family";351
MOVIE;"european";344
MOVIE;"fantasy";315
MOVIE;"animation";282
MOVIE;"horror";261
MOVIE;"scifi";204
MOVIE;"music";191
MOVIE;"history";145
MOVIE;"sport";113
MOVIE;"war";103
MOVIE;"western";28
MOVIE;"reality";9
SHOW;"drama";1092
SHOW;"comedy";754
SHOW;"action";439
SHOW;"animation";423
SHOW;"thriller";403
SHOW;"crime";391
SHOW;"scifi";385
SHOW;"documentation";341
SHOW;"family";331
SHOW;"fantasy";315
SHOW;"romance";273
SHOW;"reality";225
SHOW;"horror";117
SHOW;"history";109
SHOW;"european";99
SHOW;"music";71
SHOW;"war";60
SHOW;"sport";57
SHOW;"western";13
